2025-06-07T14:59:33.918974400 - CPU Load: 3.0%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T14:59:35.658951300 - CPU Load: 4.0%, RAM Used: 12.1 GB, Disk Used: 367.8 GB
2025-06-07T14:59:37.240732700 - CPU Load: 4.8%, RAM Used: 12.1 GB, Disk Used: 367.8 GB
2025-06-07T14:59:38.789441500 - CPU Load: 0.4%, RAM Used: 12.1 GB, Disk Used: 367.8 GB
2025-06-07T14:59:40.359449100 - CPU Load: 2.5%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T14:59:41.946309900 - CPU Load: 25.8%, RAM Used: 12.1 GB, Disk Used: 367.8 GB
2025-06-07T14:59:43.516505 - CPU Load: 4.2%, RAM Used: 12.1 GB, Disk Used: 367.8 GB
2025-06-07T14:59:45.087600500 - CPU Load: 1.7%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T14:59:46.650077 - CPU Load: 7.1%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T14:59:48.212267700 - CPU Load: 1.7%, RAM Used: 12.1 GB, Disk Used: 367.8 GB
2025-06-07T14:59:49.909635500 - CPU Load: 1.3%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T14:59:51.467358400 - CPU Load: 3.4%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T14:59:53.035132600 - CPU Load: 2.7%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T14:59:54.599332400 - CPU Load: 3.4%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T14:59:56.149501400 - CPU Load: 4.3%, RAM Used: 12.1 GB, Disk Used: 367.8 GB
2025-06-07T14:59:57.697210800 - CPU Load: 12.9%, RAM Used: 12.1 GB, Disk Used: 367.8 GB
2025-06-07T14:59:59.245491500 - CPU Load: 16.6%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:00.802181800 - CPU Load: 1.9%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:02.350800300 - CPU Load: 11.6%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:03.905309900 - CPU Load: 2.5%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:05.460384100 - CPU Load: 10.2%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:07.024425900 - CPU Load: 11.0%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:08.570471 - CPU Load: 6.7%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:10.130371 - CPU Load: 9.9%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:11.685734700 - CPU Load: 3.9%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:13.233684900 - CPU Load: 6.8%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:14.784129800 - CPU Load: 6.1%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:16.338838500 - CPU Load: 9.6%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:17.899123500 - CPU Load: 4.8%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:19.438609500 - CPU Load: 10.5%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:20.994462600 - CPU Load: 7.6%, RAM Used: 12.1 GB, Disk Used: 367.8 GB
2025-06-07T15:00:22.547884300 - CPU Load: 9.8%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:24.086011200 - CPU Load: 7.4%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:25.630717100 - CPU Load: 6.1%, RAM Used: 12.1 GB, Disk Used: 367.8 GB
2025-06-07T15:00:27.178425900 - CPU Load: 6.7%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:28.742369700 - CPU Load: 4.9%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:30.283916600 - CPU Load: 7.8%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:31.833771200 - CPU Load: 8.2%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:33.375169500 - CPU Load: 7.6%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:34.919776100 - CPU Load: 3.1%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:36.459156700 - CPU Load: 9.6%, RAM Used: 12.1 GB, Disk Used: 367.8 GB
2025-06-07T15:00:37.998588600 - CPU Load: 4.9%, RAM Used: 12.1 GB, Disk Used: 367.8 GB
2025-06-07T15:00:39.542913800 - CPU Load: 9.6%, RAM Used: 12.1 GB, Disk Used: 367.8 GB
2025-06-07T15:00:41.084504100 - CPU Load: 6.1%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:42.651965700 - CPU Load: 8.6%, RAM Used: 12.1 GB, Disk Used: 367.8 GB
2025-06-07T15:00:44.193770800 - CPU Load: 5.5%, RAM Used: 12.1 GB, Disk Used: 367.8 GB
2025-06-07T15:00:45.750839600 - CPU Load: 4.9%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
2025-06-07T15:00:47.307486900 - CPU Load: 7.4%, RAM Used: 12.0 GB, Disk Used: 367.8 GB
